rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
21,Optimum (Altice USA),"Community Antenna Service, Inc.","Community Antenna Service, Inc.",25848,0.482,32019,80.727,0,25848
22,Optimum (Altice USA),"Generate-Ubiquity Holdings, LLC","Generate-Ubiquity Holdings, LLC",24277,0.452,179727,13.508,24277,0
23,Optimum (Altice USA),"PCC Holdings, Inc.","PCC Holdings, Inc.",23901,0.445,41929,57.004,23901,0
24,Optimum (Altice USA),"VFN Holdings, Inc.","VFN Holdings, Inc.",21748,0.405,52739,41.237,21748,0
25,Optimum (Altice USA),Peoples Telephone Cooperative,Peoples Telephone Cooperative,20309,0.378,54161,37.497,20309,0
26,Optimum (Altice USA),"Ezee Fiber Texas, LLC","Ezee Fiber Texas, LLC",18305,0.341,373234,4.904,18305,0
27,Optimum (Altice USA),"Open Infra, Inc.","Open Infra, Inc.",15835,0.295,87397,18.118,15835,0
28,Optimum (Altice USA),Court Square Capital Partners,Court Square Capital Partners,15696,0.293,21035,74.618,15696,0
29,Optimum (Altice USA),"ENMR Telephone Cooperative, Inc.","ENMR Telephone Cooperative, Inc.",15090,0.281,63317,23.832,15090,0
30,Optimum (Altice USA),White River Valley Electric Cooperative,White River Valley Electric Cooperative,14762,0.275,31078,47.5,14762,0
31,Optimum (Altice USA),Vyve Broadband,Vyve Broadband,14193,0.264,560197,2.534,13764,429
32,Optimum (Altice USA),CG Computer Works LLC,CG Computer Works LLC,12133,0.226,22621,53.636,12133,0
33,Optimum (Altice USA),"CableSouth Media III, LLC","CableSouth Media III, LLC",11870,0.221,119756,9.912,9829,2139
34,Optimum (Altice USA),"Poka Lambro Telephone Cooperative, Inc.","Poka Lambro Telephone Cooperative, Inc.",11694,0.218,28891,40.476,8961,2733
35,Optimum (Altice USA),AMG Technology Investment Group LLC,AMG Technology Investment Group LLC,11122,0.207,103541,10.742,11122,0
36,Optimum (Altice USA),Nortex Communications,Nortex Communications,10961,0.204,26115,41.972,10961,0
37,Optimum (Altice USA),Pioneer Telephone Cooperative (OK),Pioneer Telephone Cooperative (OK),10466,0.195,66019,15.853,10466,0
38,Optimum (Altice USA),"Ozark Fiber, LLC","Ozark Fiber, LLC",9972,0.186,19128,52.133,9972,0
39,Optimum (Altice USA),"NfinityLink Communications, Inc.","NfinityLink Communications, Inc.",9396,0.175,19806,47.44,9383,13
40,Optimum (Altice USA),"Eastex Telephone Cooperative, Inc.","Eastex Telephone Cooperative, Inc.",9356,0.174,41866,22.347,9356,0
41,Optimum (Altice USA),"Santa Rosa Telephone Cooperative, Inc.","Santa Rosa Telephone Cooperative, Inc.",8825,0.164,35091,25.149,8825,0
42,Optimum (Altice USA),"PATHWAYZ Communications, Inc.","PATHWAYZ Communications, Inc.",8568,0.16,16276,52.642,8568,0
43,Optimum (Altice USA),Grayson Collin Electric Cooperative,Grayson Collin Electric Cooperative,8527,0.159,15871,53.727,8527,0
44,Optimum (Altice USA),"MSEC Communications, LLC","MSEC Communications, LLC",8145,0.152,40856,19.936,8145,0
45,Optimum (Altice USA),West Texas Rural Telephone Cooperative Inc.,West Texas Rural Telephone Cooperative Inc.,7826,0.146,12480,62.708,7826,0
46,Optimum (Altice USA),"North Arkansas Electric Cooperative, Inc.","North Arkansas Electric Cooperative, Inc.",7655,0.143,34953,21.901,7655,0
47,Optimum (Altice USA),"Ripple Fiber, LLC","Ripple Fiber, LLC",7190,0.134,206137,3.488,7190,0
48,Optimum (Altice USA),"Valley Communications Association, LLC","Valley Communications Association, LLC",6803,0.127,16851,40.371,6803,0
49,Optimum (Altice USA),Ziply Fiber (Bell Canada),Ziply Fiber (Bell Canada),6643,0.124,763929,0.87,6643,0
50,Optimum (Altice USA),American Broadband Holding Company,American Broadband Holding Company,6614,0.123,56888,11.626,6614,0
51,Optimum (Altice USA),"Etex Telephone Cooperative, Inc.","Etex Telephone Cooperative, Inc.",6535,0.122,27266,23.968,6535,0
52,Optimum (Altice USA),"Hilliary Communications, LLC","Hilliary Communications, LLC",6452,0.12,40574,15.902,6452,1
53,Optimum (Altice USA),Oklahoma Electric Cooperative,Oklahoma Electric Cooperative,6013,0.112,95994,6.264,6013,0
54,Optimum (Altice USA),South Central Arkansas Electric Cooperative,South Central Arkansas Electric Cooperative,5737,0.107,27110,21.162,5737,0
55,Optimum (Altice USA),Carthage Water and Electric Plant,Carthage Water and Electric Plant,5513,0.103,5946,92.718,5513,0
56,Optimum (Altice USA),Lafayette City Parish Consolidated Government,Lafayette City Parish Consolidated Government,5399,0.101,89130,6.057,5399,0
57,Optimum (Altice USA),Cherokee County Electric Cooperative Association,Cherokee County Electric Cooperative Association,5241,0.098,14354,36.512,5241,0
58,Optimum (Altice USA),"Micrologic, Inc.","Micrologic, Inc.",4994,0.093,9544,52.326,4994,0
59,Optimum (Altice USA),"Legacy ISP, LLC","Legacy ISP, LLC",4309,0.08,5677,75.903,4309,0
