rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
239,Comcast (Xfinity),"Laurel Highland Total Communications, Inc.","Laurel Highland Total Communications, Inc.",2116,0.005,13949,15.17,2116,0
240,Comcast (Xfinity),Clear Creek Mutual Telephone Company,Clear Creek Mutual Telephone Company,2099,0.005,3486,60.212,11,2088
241,Comcast (Xfinity),BARC Electric Cooperative,BARC Electric Cooperative,2089,0.005,10612,19.685,2089,0
242,Comcast (Xfinity),Gervais Telephone Company,Gervais Telephone Company,1972,0.005,3701,53.283,1972,0
243,Comcast (Xfinity),NEK Community Broadband,NEK Community Broadband,1946,0.005,9852,19.752,1946,0
244,Comcast (Xfinity),Mecklenburg Electric Cooperative,Mecklenburg Electric Cooperative,1944,0.005,23921,8.127,1944,0
245,Comcast (Xfinity),Monon Telephone Company Inc.,Monon Telephone Company Inc.,1939,0.005,2381,81.436,1939,0
246,Comcast (Xfinity),Logonix Corporation,Logonix Corporation,1932,0.005,3129,61.745,1932,0
247,Comcast (Xfinity),Green Hills Telephone Corporation,Green Hills Telephone Corporation,1925,0.005,13863,13.886,444,1493
248,Comcast (Xfinity),Prince George Electric Cooperative,Prince George Electric Cooperative,1914,0.005,13312,14.378,1914,0
249,Comcast (Xfinity),LTD Broadband LLC,LTD Broadband LLC,1886,0.005,18470,10.211,1886,0
250,Comcast (Xfinity),"Force Broadband, LLC","Force Broadband, LLC",1855,0.005,5361,34.602,1855,0
251,Comcast (Xfinity),"Aspire Networks 1, LLC","Aspire Networks 1, LLC",1844,0.005,44794,4.117,1844,0
252,Comcast (Xfinity),West Kentucky Rural Telephone Cooperative Corp. Inc.,West Kentucky Rural Telephone Cooperative Corp. Inc.,1837,0.005,66625,2.757,1837,0
253,Comcast (Xfinity),"Eastex Telephone Cooperative, Inc.","Eastex Telephone Cooperative, Inc.",1833,0.005,41866,4.378,1833,0
254,Comcast (Xfinity),"Fiber by Central Florida, LLC","Fiber by Central Florida, LLC",1826,0.005,34851,5.239,1826,0
255,Comcast (Xfinity),Mason County Public Utility District No. 3,Mason County Public Utility District No. 3,1823,0.005,6825,26.711,1823,0
256,Comcast (Xfinity),Mulberry Cooperative Telephone Co. Inc.,Mulberry Cooperative Telephone Co. Inc.,1816,0.005,6484,28.007,1816,0
