rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
431,Charter (Spectrum),KEPS Technologies Inc.,KEPS Technologies Inc.,526,0.001,8533,6.164,526,0
432,Charter (Spectrum),Hood River Electric Cooperative,Hood River Electric Cooperative,526,0.001,2845,18.489,526,0
433,Charter (Spectrum),Tech Stack 4,Tech Stack 4,497,0.001,587,84.668,497,0
434,Charter (Spectrum),Waitsfield & Champlain Valley Telecom,Waitsfield & Champlain Valley Telecom,491,0.001,1163,42.218,491,0
435,Charter (Spectrum),"Alhambra-Grantfork Communications, Inc.","Alhambra-Grantfork Communications, Inc.",482,0.001,4072,11.837,482,0
436,Charter (Spectrum),"Wi-Fiber, Inc.","Wi-Fiber, Inc.",482,0.001,13266,3.633,482,0
437,Charter (Spectrum),"Coba Systems, LLC","Coba Systems, LLC",480,0.001,1973,24.328,0,480
438,Charter (Spectrum),Mecklenburg Electric Cooperative,Mecklenburg Electric Cooperative,479,0.001,23921,2.002,479,0
439,Charter (Spectrum),"Wisper ISP, Inc.","Wisper ISP, Inc.",472,0.001,498,94.779,472,0
440,Charter (Spectrum),"MCC Network Services, LLC","MCC Network Services, LLC",468,0.001,121140,0.386,468,0
441,Charter (Spectrum),OACYS Technology,OACYS Technology,456,0.001,478,95.397,456,0
442,Charter (Spectrum),City of Hudson,City of Hudson,455,0.001,642,70.872,455,0
443,Charter (Spectrum),BreezeAir Networks LLC,BreezeAir Networks LLC,447,0.001,689,64.877,447,0
444,Charter (Spectrum),"Eastex Telephone Cooperative, Inc.","Eastex Telephone Cooperative, Inc.",445,0.001,41866,1.063,445,0
445,Charter (Spectrum),"WEHCO Video, Inc.","WEHCO Video, Inc.",443,0.001,172012,0.258,0,443
446,Charter (Spectrum),Meeker Cooperative Light & Power Association,Meeker Cooperative Light & Power Association,435,0.001,12309,3.534,435,0
