target,state,operator,overlap_bsls,target_bsls_in_state,pct_of_target_in_state
Optimum (Altice USA),LA,Comcast (Xfinity),11962,213667,5.598
Optimum (Altice USA),LA,"CableSouth Media III, LLC",9027,213667,4.225
Optimum (Altice USA),LA,Brightspeed,6763,213667,3.165
Optimum (Altice USA),LA,American Broadband Holding Company,6614,213667,3.095
Optimum (Altice USA),LA,Lafayette City Parish Consolidated Government,5399,213667,2.527
Optimum (Altice USA),LA,Ritter,4570,213667,2.139
Optimum (Altice USA),LA,"CP-Tel Holdings, Inc.",3768,213667,1.763
Optimum (Altice USA),LA,"Conexon Connect, LLC",2133,213667,0.998
Optimum (Altice USA),LA,"Cajun Broadband, Inc.",1636,213667,0.766
Optimum (Altice USA),LA,Cox,1297,213667,0.607
Optimum (Altice USA),LA,Charter (Spectrum),1134,213667,0.531
Optimum (Altice USA),LA,"Volt Broadband, LLC",969,213667,0.454
Optimum (Altice USA),LA,Delcambre Telephone Co.,578,213667,0.271
Optimum (Altice USA),LA,"Northeast Louisiana Telephone Co., Inc.",244,213667,0.114
Optimum (Altice USA),LA,Vyve Broadband,209,213667,0.098
Optimum (Altice USA),LA,EATEL Corp.,13,213667,0.006
Optimum (Altice USA),LA,"Trinity Communications, LLC",10,213667,0.005
Optimum (Altice USA),MO,"United Electric Cooperative, Inc.",31759,113720,27.927
Optimum (Altice USA),MO,Metronet (T-Mobile JV),16787,113720,14.762
Optimum (Altice USA),MO,White River Valley Electric Cooperative,14762,113720,12.981
Optimum (Altice USA),MO,"Ozark Fiber, LLC",9972,113720,8.769
Optimum (Altice USA),MO,Carthage Water and Electric Plant,5513,113720,4.848
Optimum (Altice USA),MO,AT&T,4898,113720,4.307
Optimum (Altice USA),MO,Brightspeed,3831,113720,3.369
Optimum (Altice USA),MO,Socket Telecom LLC,3058,113720,2.689
Optimum (Altice USA),MO,"Mid-States Services, LLC",2555,113720,2.247
Optimum (Altice USA),MO,Chariton Valley Telephone Corporation,2175,113720,1.913
Optimum (Altice USA),MO,Total Highspeed LLC,1453,113720,1.278
Optimum (Altice USA),MO,"Co-Mo Electric Cooperative, Inc.",1312,113720,1.154
Optimum (Altice USA),MO,Charter (Spectrum),1115,113720,0.98
Optimum (Altice USA),MO,"Callabyte Technology, LLC",756,113720,0.665
Optimum (Altice USA),MO,Comcast (Xfinity),466,113720,0.41
Optimum (Altice USA),MO,Mediacom,416,113720,0.366
Optimum (Altice USA),MO,Windstream/Uniti (Kinetic),220,113720,0.193
Optimum (Altice USA),MO,Net Vision Communications LLC,132,113720,0.116
Optimum (Altice USA),MO,Grand River Mutual Telephone Corporation,59,113720,0.052
Optimum (Altice USA),MO,Barry Electric Cooperative,15,113720,0.013
Optimum (Altice USA),MO,Granby Telephone Company,6,113720,0.005
Optimum (Altice USA),MO,Cable One (Sparklight),1,113720,0.001
Optimum (Altice USA),MO,Gateway Fiber Holdings LLC,1,113720,0.001
Optimum (Altice USA),MO,"IAMO Communications, Inc.",1,113720,0.001
Optimum (Altice USA),MO,Oregon Telephone Corporation,1,113720,0.001
Optimum (Altice USA),MO,"Townes Telecommunications, Inc.",1,113720,0.001
Optimum (Altice USA),MS,"Telapex, Inc.",2206,24893,8.862
Optimum (Altice USA),MS,Mobile Communications LLC,1451,24893,5.829
Optimum (Altice USA),MS,Delta Electric Power Association,1294,24893,5.198
Optimum (Altice USA),MS,"TecInfo Communications, LLC",520,24893,2.089
Optimum (Altice USA),MS,Cable One (Sparklight),75,24893,0.301
Optimum (Altice USA),MS,AT&T,6,24893,0.024
Optimum (Altice USA),NC,Brightspeed,86538,221751,39.025
Optimum (Altice USA),NC,Metronet (T-Mobile JV),57564,221751,25.959
Optimum (Altice USA),NC,AT&T,11605,221751,5.233
Optimum (Altice USA),NC,"NfinityLink Communications, Inc.",9396,221751,4.237
Optimum (Altice USA),NC,Charter (Spectrum),7753,221751,3.496
Optimum (Altice USA),NC,"Ripple Fiber, LLC",5052,221751,2.278
Optimum (Altice USA),NC,Skyline Telephone Membership Corporation,4174,221751,1.882
Optimum (Altice USA),NC,Vyve Broadband,3982,221751,1.796
Optimum (Altice USA),NC,Frontier,2968,221751,1.338
Optimum (Altice USA),NC,Wilkes Telephone Membership Corporation,548,221751,0.247
Optimum (Altice USA),NC,Locality Networks Inc.,515,221751,0.232
Optimum (Altice USA),NC,"Skyrunner, Inc.",295,221751,0.133
Optimum (Altice USA),NC,"BalsamWest FiberNET, LLC",47,221751,0.021
Optimum (Altice USA),NC,ENC Access Investments LLC,46,221751,0.021
Optimum (Altice USA),NC,"ERC Broadband, LLC",24,221751,0.011
Optimum (Altice USA),NC,"Comporium, Inc.",14,221751,0.006
Optimum (Altice USA),NC,City of Wilson,3,221751,0.001
Optimum (Altice USA),NC,Hotwire,2,221751,0.001
Optimum (Altice USA),NC,"StarVision, Inc.",2,221751,0.001
Optimum (Altice USA),NC,Lumos (T-Mobile JV),1,221751,0.0
Optimum (Altice USA),NJ,Verizon (Fios),670059,971601,68.964
Optimum (Altice USA),NJ,Comcast (Xfinity),94170,971601,9.692
Optimum (Altice USA),NJ,"Planet Networks, Inc.",39980,971601,4.115
Optimum (Altice USA),NJ,Brightspeed,14810,971601,1.524
Optimum (Altice USA),NJ,Court Square Capital Partners,6749,971601,0.695
Optimum (Altice USA),NJ,Charter (Spectrum),2238,971601,0.23
Optimum (Altice USA),NJ,Astound Broadband,9,971601,0.001
Optimum (Altice USA),NJ,Hotwire,2,971601,0.0
Optimum (Altice USA),NJ,Invest Newark,1,971601,0.0
Optimum (Altice USA),NJ,Litebridge LLC,1,971601,0.0
Optimum (Altice USA),NJ,"Starry, Inc.",1,971601,0.0
Optimum (Altice USA),NM,"ENMR Telephone Cooperative, Inc.",14529,14929,97.321
Optimum (Altice USA),NM,"Roosevelt County Rural Telephone Cooperative, Inc.",362,14929,2.425
Optimum (Altice USA),NV,"Valley Communications Association, LLC",6803,10787,63.067
Optimum (Altice USA),NV,Lumen (Quantum Fiber / CenturyLink),1,10787,0.009
Optimum (Altice USA),NY,Verizon (Fios),1158306,1471462,78.718
Optimum (Altice USA),NY,Charter (Spectrum),10187,1471462,0.692
Optimum (Altice USA),NY,Court Square Capital Partners,8947,1471462,0.608
Optimum (Altice USA),NY,Frontier,8730,1471462,0.593
Optimum (Altice USA),NY,Comcast (Xfinity),916,1471462,0.062
Optimum (Altice USA),NY,Astound Broadband,481,1471462,0.033
Optimum (Altice USA),NY,Consolidated (Fidium),266,1471462,0.018
Optimum (Altice USA),NY,Litebridge LLC,146,1471462,0.01
Optimum (Altice USA),NY,Archtop Fiber Holdings LLC,72,1471462,0.005
Optimum (Altice USA),NY,"Greenlight Networks, LLC",58,1471462,0.004
Optimum (Altice USA),NY,"Starry, Inc.",56,1471462,0.004
Optimum (Altice USA),NY,Mid-Hudson Cablevision,28,1471462,0.002
Optimum (Altice USA),NY,"Planet Networks, Inc.",3,1471462,0.0
Optimum (Altice USA),OH,Frontier,4752,23925,19.862
Optimum (Altice USA),OH,"Community Antenna Service, Inc.",4456,23925,18.625
Optimum (Altice USA),OH,Charter (Spectrum),1723,23925,7.202
Optimum (Altice USA),OH,Windstream/Uniti (Kinetic),184,23925,0.769
Optimum (Altice USA),OK,"Dobson Technologies, Inc.",47898,128105,37.39
Optimum (Altice USA),OK,Bluepeak,47605,128105,37.161
Optimum (Altice USA),OK,Pioneer Telephone Cooperative (OK),10466,128105,8.17
Optimum (Altice USA),OK,Windstream/Uniti (Kinetic),8235,128105,6.428
Optimum (Altice USA),OK,Oklahoma Electric Cooperative,6013,128105,4.694
Optimum (Altice USA),OK,"Hilliary Communications, LLC",5458,128105,4.261
Optimum (Altice USA),OK,Central Rural Electric Cooperative,4152,128105,3.241
Optimum (Altice USA),OK,"Northeast Rural Services, Inc.",3901,128105,3.045
Optimum (Altice USA),OK,Pine Telephone Company,3324,128105,2.595
Optimum (Altice USA),OK,AT&T,3199,128105,2.497
Optimum (Altice USA),OK,Canadian Valley Electric Cooperative,2728,128105,2.13
Optimum (Altice USA),OK,City of Sallisaw,2517,128105,1.965
Optimum (Altice USA),OK,East Central Oklahoma Electric Cooperative,2047,128105,1.598
Optimum (Altice USA),OK,Lake Region Technology & Communications LLC,1303,128105,1.017
Optimum (Altice USA),OK,Cookson Hills Electric Cooperative,897,128105,0.7
Optimum (Altice USA),OK,Arkansas Valley Electric Cooperative Corporation,610,128105,0.476
Optimum (Altice USA),OK,Vyve Broadband,544,128105,0.425
Optimum (Altice USA),OK,Hinton Holding Company,431,128105,0.336
Optimum (Altice USA),OK,Carnegie Telephone Company,139,128105,0.109
Optimum (Altice USA),OK,"NBVDS Investment, LLC",134,128105,0.105
Optimum (Altice USA),OK,"Valliant Telephone Company, Inc.",97,128105,0.076
Optimum (Altice USA),OK,Bixby Telephone Company,55,128105,0.043
Optimum (Altice USA),OK,"Professional Value Internet Services, LLC",41,128105,0.032
Optimum (Altice USA),OK,Cable One (Sparklight),7,128105,0.005
Optimum (Altice USA),OK,Cox,7,128105,0.005
Optimum (Altice USA),OK,ICS Advanced Technologies,2,128105,0.002
Optimum (Altice USA),OK,Grand Telephone Company,1,128105,0.001
Optimum (Altice USA),PA,Blue Ridge Communications,11,1880,0.585
Optimum (Altice USA),PA,Verizon (Fios),7,1880,0.372
Optimum (Altice USA),TX,AT&T,434647,1206843,36.015
Optimum (Altice USA),TX,Metronet (T-Mobile JV),267645,1206843,22.177
Optimum (Altice USA),TX,Comcast (Xfinity),115813,1206843,9.596
Optimum (Altice USA),TX,Frontier,109413,1206843,9.066
Optimum (Altice USA),TX,Tachus LLC,93835,1206843,7.775
Optimum (Altice USA),TX,Consolidated (Fidium),52327,1206843,4.336
Optimum (Altice USA),TX,Charter (Spectrum),40664,1206843,3.369
Optimum (Altice USA),TX,Astound Broadband,34479,1206843,2.857
Optimum (Altice USA),TX,Windstream/Uniti (Kinetic),27518,1206843,2.28
Optimum (Altice USA),TX,Cable One (Sparklight),27339,1206843,2.265
Optimum (Altice USA),TX,"Generate-Ubiquity Holdings, LLC",24277,1206843,2.012
Optimum (Altice USA),TX,Peoples Telephone Cooperative,20309,1206843,1.683
Optimum (Altice USA),TX,"Ezee Fiber Texas, LLC",18305,1206843,1.517
Optimum (Altice USA),TX,Brightspeed,17315,1206843,1.435
Optimum (Altice USA),TX,"Open Infra, Inc.",15835,1206843,1.312
Optimum (Altice USA),TX,"VFN Holdings, Inc.",13377,1206843,1.108
Optimum (Altice USA),TX,"Poka Lambro Telephone Cooperative, Inc.",11694,1206843,0.969
Optimum (Altice USA),TX,AMG Technology Investment Group LLC,11122,1206843,0.922
Optimum (Altice USA),TX,Nortex Communications,10961,1206843,0.908
Optimum (Altice USA),TX,Vyve Broadband,9458,1206843,0.784
Optimum (Altice USA),TX,"Eastex Telephone Cooperative, Inc.",9356,1206843,0.775
Optimum (Altice USA),TX,"Santa Rosa Telephone Cooperative, Inc.",8825,1206843,0.731
Optimum (Altice USA),TX,"PATHWAYZ Communications, Inc.",8568,1206843,0.71
Optimum (Altice USA),TX,Grayson Collin Electric Cooperative,8527,1206843,0.707
Optimum (Altice USA),TX,"MSEC Communications, LLC",8145,1206843,0.675
Optimum (Altice USA),TX,West Texas Rural Telephone Cooperative Inc.,7826,1206843,0.648
Optimum (Altice USA),TX,"Etex Telephone Cooperative, Inc.",6535,1206843,0.541
Optimum (Altice USA),TX,Cherokee County Electric Cooperative Association,5241,1206843,0.434
Optimum (Altice USA),TX,"Legacy ISP, LLC",4309,1206843,0.357
Optimum (Altice USA),TX,"Community Telephone Co., Inc.",3790,1206843,0.314
Optimum (Altice USA),TX,"Taylor Telephone Cooperative, Inc.",3514,1206843,0.291
Optimum (Altice USA),TX,Google Fiber,3240,1206843,0.268
Optimum (Altice USA),TX,Innovative Financial Technologies LLC,3192,1206843,0.264
Optimum (Altice USA),TX,"Mid-Plains Rural Telephone Cooperative, Inc.",2842,1206843,0.235
Optimum (Altice USA),TX,Centric Infrastructure Group LLC,2673,1206843,0.221
Optimum (Altice USA),TX,"Hill Country Telephone Cooperative, Inc.",2551,1206843,0.211
Optimum (Altice USA),TX,Point Broadband,2358,1206843,0.195
Optimum (Altice USA),TX,"Pavlov Media, Inc.",2290,1206843,0.19
Optimum (Altice USA),TX,"South Plains Telephone Cooperative, Inc.",2158,1206843,0.179
Optimum (Altice USA),TX,Taylor Electric Cooperative,1890,1206843,0.157
Optimum (Altice USA),TX,"Wi-Fiber, Inc.",1841,1206843,0.153
Optimum (Altice USA),TX,Lake Livingston Telephone Company,1835,1206843,0.152
Optimum (Altice USA),TX,"Victoria Electric Cooperative, Inc.",1551,1206843,0.129
Optimum (Altice USA),TX,"Brazos Telephone Cooperative, Inc.",1441,1206843,0.119
Optimum (Altice USA),TX,"Wes-Tex Telephone Cooperative, Inc.",1415,1206843,0.117
Optimum (Altice USA),TX,"yondoo Broadband, LLC",1186,1206843,0.098
Optimum (Altice USA),TX,City of Mont Belvieu,1009,1206843,0.084
Optimum (Altice USA),TX,"Hilliary Communications, LLC",994,1206843,0.082
Optimum (Altice USA),TX,"ITC Broadband Operating, LLC",904,1206843,0.075
Optimum (Altice USA),TX,Hotwire,822,1206843,0.068
Optimum (Altice USA),TX,Arrive Internet,739,1206843,0.061
Optimum (Altice USA),TX,"Blossom Telephone Co., Inc.",704,1206843,0.058
Optimum (Altice USA),TX,"Cap Rock Telephone Cooperative, Inc.",686,1206843,0.057
Optimum (Altice USA),TX,"James Bouse Enterprises, LLC",653,1206843,0.054
Optimum (Altice USA),TX,"ENMR Telephone Cooperative, Inc.",561,1206843,0.046
Optimum (Altice USA),TX,"Plains Internet, LLC",432,1206843,0.036
Optimum (Altice USA),TX,"Flying Bull Internet, LLC",414,1206843,0.034
Optimum (Altice USA),TX,"JAB Wireless, Inc.",303,1206843,0.025
Optimum (Altice USA),TX,"Dell Telephone Cooperative, Inc.",286,1206843,0.024
Optimum (Altice USA),TX,"WEHCO Video, Inc.",284,1206843,0.024
Optimum (Altice USA),TX,"WiFires Communications, LLC",227,1206843,0.019
Optimum (Altice USA),TX,"Lyte Fiber, LLC",177,1206843,0.015
Optimum (Altice USA),TX,"Bartlett Electric Cooperative, Inc.",156,1206843,0.013
Optimum (Altice USA),TX,"ANTS-Technology, Inc.",146,1206843,0.012
Optimum (Altice USA),TX,TOTE Holdings LLC,137,1206843,0.011
Optimum (Altice USA),TX,"SureFire Internet, LLC",127,1206843,0.011
Optimum (Altice USA),TX,"Zito West Holding, LLC",96,1206843,0.008
Optimum (Altice USA),TX,"Wellcom Technologies Highlands, LP",25,1206843,0.002
Optimum (Altice USA),TX,"BSX Holdings, LLC",22,1206843,0.002
Optimum (Altice USA),TX,Boston Omaha Corporation,16,1206843,0.001
Optimum (Altice USA),TX,"Nevill Holdings, Inc.",7,1206843,0.001
Optimum (Altice USA),TX,"Bandera Electric Cooperative, Inc.",5,1206843,0.0
Optimum (Altice USA),TX,3 Rooms Communications LLC,2,1206843,0.0
Optimum (Altice USA),TX,"Central Texas Telephone Cooperative, Inc.",2,1206843,0.0
Optimum (Altice USA),TX,ICS Advanced Technologies,2,1206843,0.0
Optimum (Altice USA),TX,"LCS Fibercom, LLC",2,1206843,0.0
Optimum (Altice USA),TX,PCs for People,2,1206843,0.0
Optimum (Altice USA),TX,"Cumby Telephone Cooperative, Inc.",1,1206843,0.0
Optimum (Altice USA),TX,"MiFiber Holding, LLC",1,1206843,0.0
Optimum (Altice USA),VA,Pembroke Telephone Cooperative,472,4668,10.111
Optimum (Altice USA),VA,Charter (Spectrum),3,4668,0.064
Optimum (Altice USA),VA,Comcast (Xfinity),2,4668,0.043
Optimum (Altice USA),VA,Citizens Telephone Cooperative (VA),1,4668,0.021
Optimum (Altice USA),WV,Frontier,106462,259537,41.02
Optimum (Altice USA),WV,"Community Antenna Service, Inc.",21392,259537,8.242
Optimum (Altice USA),WV,Comcast (Xfinity),7397,259537,2.85
Optimum (Altice USA),WV,"Micrologic, Inc.",4994,259537,1.924
Optimum (Altice USA),WV,"Citynet, LLC",919,259537,0.354
Optimum (Altice USA),WV,Charter (Spectrum),560,259537,0.216
Optimum (Altice USA),WV,Shenandoah Telecommunications Company,379,259537,0.146
Optimum (Altice USA),WV,WVVA.net Inc.,366,259537,0.141
Optimum (Altice USA),WV,Breezeline (Cogeco),69,259537,0.027
Optimum (Altice USA),WV,Armstrong,25,259537,0.01
Optimum (Altice USA),WV,Alpha Technologies Inc.,15,259537,0.006
Optimum (Altice USA),WV,"Foothills Rural Telephone Cooperative Corporation, Inc.",9,259537,0.003
Optimum (Altice USA),WV,Gearheart Communications,3,259537,0.001
Optimum (Altice USA),WV,Crystal Broadband Networks,2,259537,0.001
Cable One (Sparklight),AL,AT&T,23850,73619,32.397
Cable One (Sparklight),AL,Coosa Valley Electric Cooperative,9461,73619,12.851
Cable One (Sparklight),AL,Brightspeed,7204,73619,9.786
Cable One (Sparklight),AL,Windstream/Uniti (Kinetic),5641,73619,7.662
Cable One (Sparklight),AL,Charter (Spectrum),2508,73619,3.407
Cable One (Sparklight),AL,Comcast (Xfinity),525,73619,0.713
Cable One (Sparklight),AL,"Ragland Telephone Co., Inc.",13,73619,0.018
Cable One (Sparklight),AL,"Tombigbee Electric Cooperative, Inc.",13,73619,0.018
Cable One (Sparklight),AR,Comcast (Xfinity),26856,79039,33.978
Cable One (Sparklight),AR,AT&T,24189,79039,30.604
Cable One (Sparklight),AR,First Electric Cooperative Corporation,12319,79039,15.586
Cable One (Sparklight),AR,Windstream/Uniti (Kinetic),8869,79039,11.221
Cable One (Sparklight),AR,Ritter,4231,79039,5.353
Cable One (Sparklight),AR,"Southwest Arkansas Electric Cooperative, Inc.",3984,79039,5.041
Cable One (Sparklight),AR,"Ripple Fiber, LLC",3940,79039,4.985
Cable One (Sparklight),AR,Red River Cellular Telephone Corporation,3891,79039,4.923
Cable One (Sparklight),AR,Brightspeed,3058,79039,3.869
Cable One (Sparklight),AR,"Clay County Connect, Inc.",1392,79039,1.761
Cable One (Sparklight),AR,"Southwest Arkansas Telephone Cooperative, Inc.",1178,79039,1.49
Cable One (Sparklight),AR,Craighead Elecric Cooperative Corporation,840,79039,1.063
Cable One (Sparklight),AR,"North Arkansas Electric Cooperative, Inc.",235,79039,0.297
Cable One (Sparklight),AR,"WEHCO Video, Inc.",168,79039,0.213
Cable One (Sparklight),AR,South Central Arkansas Electric Cooperative,85,79039,0.108
Cable One (Sparklight),AR,LTD Broadband LLC,44,79039,0.056
Cable One (Sparklight),AR,"Ind. Co. Cable TV, Inc.",16,79039,0.02
Cable One (Sparklight),AR,Optimum (Altice USA),8,79039,0.01
Cable One (Sparklight),AZ,"Valley Telephone Cooperative, Inc. (AZ/NM)",8308,140744,5.903
Cable One (Sparklight),AZ,Optimum (Altice USA),5094,140744,3.619
Cable One (Sparklight),AZ,Lumen (Quantum Fiber / CenturyLink),2318,140744,1.647
Cable One (Sparklight),AZ,"Conexon Connect, LLC",948,140744,0.674
Cable One (Sparklight),AZ,"Ponderosa Communications, Inc.",203,140744,0.144
Cable One (Sparklight),AZ,Metronet (T-Mobile JV),146,140744,0.104
Cable One (Sparklight),AZ,Midvale Telephone Exchange,31,140744,0.022
Cable One (Sparklight),AZ,Frontier,1,140744,0.001
Cable One (Sparklight),GA,Cox,29820,72404,41.186
Cable One (Sparklight),GA,Windstream/Uniti (Kinetic),16352,72404,22.584
Cable One (Sparklight),GA,"Conexon Connect, LLC",10926,72404,15.09
Cable One (Sparklight),GA,TDS Telecom,7705,72404,10.642
Cable One (Sparklight),GA,AT&T,4592,72404,6.342
Cable One (Sparklight),GA,Comcast (Xfinity),3945,72404,5.449
Cable One (Sparklight),GA,"LiveOak Fiber, LLC",3800,72404,5.248
Cable One (Sparklight),GA,Tri-County Electric Membership Corporation,2813,72404,3.885
Cable One (Sparklight),GA,Charter (Spectrum),1253,72404,1.731
Cable One (Sparklight),GA,Vyve Broadband,657,72404,0.907
Cable One (Sparklight),GA,"Bulloch County Rural Telephone Cooperative, Inc.",351,72404,0.485
Cable One (Sparklight),GA,Mediacom,159,72404,0.22
Cable One (Sparklight),GA,Altamaha Electric Corporation,68,72404,0.094
Cable One (Sparklight),GA,Velofi LLC,35,72404,0.048
Cable One (Sparklight),GA,Plant Telephone Company,8,72404,0.011
Cable One (Sparklight),GA,"Delta Communications, LLC",7,72404,0.01
Cable One (Sparklight),GA,"Progressive Rural Telephone Co-Op., Inc.",4,72404,0.006
Cable One (Sparklight),GA,"Public Service Communications, Inc.",2,72404,0.003
Cable One (Sparklight),IA,Metronet (T-Mobile JV),25452,30792,82.658
Cable One (Sparklight),IA,Long Lines,3755,30792,12.195
Cable One (Sparklight),IA,Mutual Telephone Company (IA),112,30792,0.364
Cable One (Sparklight),IA,Lumen (Quantum Fiber / CenturyLink),76,30792,0.247
Cable One (Sparklight),IA,ImOn,46,30792,0.149
Cable One (Sparklight),IA,Western Iowa Telephone Association,19,30792,0.062
Cable One (Sparklight),IA,ICS Advanced Technologies,3,30792,0.01
Cable One (Sparklight),ID,Lumen (Quantum Fiber / CenturyLink),74816,426739,17.532
Cable One (Sparklight),ID,TDS Telecom,59010,426739,13.828
Cable One (Sparklight),ID,"Project Mutual Telephone Cooperative Association, Inc.",19331,426739,4.53
Cable One (Sparklight),ID,"Fatbeam Holdings, LLC",16866,426739,3.952
Cable One (Sparklight),ID,"Horizon Communications, Inc.",16510,426739,3.869
Cable One (Sparklight),ID,Fybercom LLC,16270,426739,3.813
Cable One (Sparklight),ID,Google Fiber,13864,426739,3.249
Cable One (Sparklight),ID,Air Bridge Broadband LLC,13077,426739,3.064
Cable One (Sparklight),ID,Direct Management Company,8421,426739,1.973
Cable One (Sparklight),ID,Farmers Mutual Telephone Company (ID),3063,426739,0.718
Cable One (Sparklight),ID,Ziply Fiber (Bell Canada),1691,426739,0.396
Cable One (Sparklight),ID,Filer Mutual Telephone Company,1666,426739,0.39
Cable One (Sparklight),ID,"Eminent Technical Solutions, LLC",1646,426739,0.386
Cable One (Sparklight),ID,"Blackfoot Telephone Cooperative, Inc.",1385,426739,0.325
Cable One (Sparklight),ID,Safelink Internet,312,426739,0.073
Cable One (Sparklight),ID,Midvale Telephone Exchange,247,426739,0.058
Cable One (Sparklight),ID,White Cloud Networks,243,426739,0.057
Cable One (Sparklight),ID,Inland Cellular Telephone Company,24,426739,0.006
Cable One (Sparklight),ID,"First Step Internet, LLC",14,426739,0.003
Cable One (Sparklight),IL,Frontier,44408,122102,36.37
Cable One (Sparklight),IL,"MCC Network Services, LLC",32158,122102,26.337
Cable One (Sparklight),IL,"Computer Techniques, Inc.",23435,122102,19.193
Cable One (Sparklight),IL,Consolidated (Fidium),7672,122102,6.283
Cable One (Sparklight),IL,"Royell Communications, Inc.",4818,122102,3.946
Cable One (Sparklight),IL,"Pavlov Media, Inc.",4112,122102,3.368
Cable One (Sparklight),IL,"Delta Communications, LLC",2533,122102,2.074
Cable One (Sparklight),IL,Hamilton County Telephone Co-Op,2061,122102,1.688
Cable One (Sparklight),IL,"Wabash Telephone Cooperative, Inc.",2005,122102,1.642
Cable One (Sparklight),IL,"Schwartz Ventures, Inc.",1010,122102,0.827
Cable One (Sparklight),IL,Logonix Corporation,968,122102,0.793
Cable One (Sparklight),IL,McDonough Telephone Cooperative Inc.,871,122102,0.713
Cable One (Sparklight),IL,"JAB Wireless, Inc.",806,122102,0.66
Cable One (Sparklight),IL,"Grafton Communications, Inc.",444,122102,0.364
Cable One (Sparklight),IL,Charter (Spectrum),301,122102,0.247
Cable One (Sparklight),IL,Comcast (Xfinity),278,122102,0.228
Cable One (Sparklight),IL,"Shawnee Communications, Inc.",246,122102,0.201
Cable One (Sparklight),IL,"ProTek Communications, LLC",108,122102,0.088
Cable One (Sparklight),IL,Astound Broadband,16,122102,0.013
Cable One (Sparklight),IL,"Crossville Consolidated Communications, Inc.",10,122102,0.008
Cable One (Sparklight),IL,AT&T,7,122102,0.006
Cable One (Sparklight),IL,Egyptian Telephone Cooperative Association,4,122102,0.003
Cable One (Sparklight),IL,Mediacom,1,122102,0.001
Cable One (Sparklight),IN,"Joink, LLC",18093,87718,20.626
Cable One (Sparklight),IN,Frontier,12053,87718,13.741
Cable One (Sparklight),IN,Daviess-Martin County Rural Telephone Corporation,10414,87718,11.872
Cable One (Sparklight),IN,Charter (Spectrum),8262,87718,9.419
Cable One (Sparklight),IN,Metronet (T-Mobile JV),7364,87718,8.395
Cable One (Sparklight),IN,South Central Indiana Rural Electric Membership Corporation,4498,87718,5.128
Cable One (Sparklight),IN,Orange County REMC,4245,87718,4.839
Cable One (Sparklight),IN,"Clay County Rural Telephone Cooperative, Inc.",4142,87718,4.722
Cable One (Sparklight),IN,Comcast (Xfinity),3523,87718,4.016
Cable One (Sparklight),IN,"Mainstream Fiber Networks, LLC",2188,87718,2.494
Cable One (Sparklight),IN,Brightspeed,1611,87718,1.837
Cable One (Sparklight),IN,AT&T,1440,87718,1.642
Cable One (Sparklight),IN,Bloomingdale Home Telephone Company,1398,87718,1.594
Cable One (Sparklight),IN,TDS Telecom,1384,87718,1.578
Cable One (Sparklight),IN,"Smithville Holding Company, Inc.",1232,87718,1.405
Cable One (Sparklight),IN,Mulberry Cooperative Telephone Co. Inc.,1212,87718,1.382
Cable One (Sparklight),IN,Benton Ridge Telephone Company,367,87718,0.418
Cable One (Sparklight),IN,Johnson County Rural Electric Membership Cooperative,194,87718,0.221
Cable One (Sparklight),IN,Tipmont Rural Electric Membership Corporation,33,87718,0.038
Cable One (Sparklight),IN,"Precision Data Solutions, LLC",30,87718,0.034
Cable One (Sparklight),IN,"Perry-Spencer Rural Telephone Cooperative, Inc.",22,87718,0.025
Cable One (Sparklight),IN,Haywire,7,87718,0.008
Cable One (Sparklight),KS,"IdeaTek Telcom, LLC",6306,27847,22.645
Cable One (Sparklight),KS,JMZ Corporation,4824,27847,17.323
Cable One (Sparklight),KS,City of Chanute Kansas,3242,27847,11.642
Cable One (Sparklight),KS,Wave Wireless LLC,921,27847,3.307
Cable One (Sparklight),KS,Mediacom,899,27847,3.228
Cable One (Sparklight),KS,Brightspeed,710,27847,2.55
Cable One (Sparklight),KS,Columbus Telephone Company,8,27847,0.029
Cable One (Sparklight),KS,Craw-Kan Telephone Cooperative Inc.,7,27847,0.025
Cable One (Sparklight),LA,AT&T,9868,57682,17.108
Cable One (Sparklight),LA,Comcast (Xfinity),8507,57682,14.748
Cable One (Sparklight),LA,Brightspeed,3399,57682,5.893
Cable One (Sparklight),LA,"Conexon Connect, LLC",2281,57682,3.954
Cable One (Sparklight),LA,"Volt Broadband, LLC",1077,57682,1.867
Cable One (Sparklight),LA,SkyRider Communications LLC,1062,57682,1.841
Cable One (Sparklight),LA,Cowboy Internet Services,308,57682,0.534
Cable One (Sparklight),LA,"CP-Tel Holdings, Inc.",220,57682,0.381
Cable One (Sparklight),LA,"CableSouth Media III, LLC",213,57682,0.369
Cable One (Sparklight),LA,"Zito West Holding, LLC",29,57682,0.05
Cable One (Sparklight),LA,Cox,1,57682,0.002
Cable One (Sparklight),MN,Midco,14398,14748,97.627
Cable One (Sparklight),MN,Lumen (Quantum Fiber / CenturyLink),528,14748,3.58
Cable One (Sparklight),MN,Park Region Mutual Telephone Company,141,14748,0.956
Cable One (Sparklight),MN,Consolidated (Fidium),44,14748,0.298
Cable One (Sparklight),MO,Socket Telecom LLC,15987,156820,10.194
Cable One (Sparklight),MO,Brightspeed,12844,156820,8.19
Cable One (Sparklight),MO,AT&T,11917,156820,7.599
Cable One (Sparklight),MO,Charter (Spectrum),11735,156820,7.483
Cable One (Sparklight),MO,"Big River Telephone, LLC",6519,156820,4.157
Cable One (Sparklight),MO,"Ozark Fiber, LLC",5292,156820,3.375
