rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
21,Cable One (Sparklight),"Computer Techniques, Inc.","Computer Techniques, Inc.",23435,1.028,29140,80.422,23435,0
22,Cable One (Sparklight),"Project Mutual Telephone Cooperative Association, Inc.","Project Mutual Telephone Cooperative Association, Inc.",19331,0.848,24367,79.333,19331,0
23,Cable One (Sparklight),"Joink, LLC","Joink, LLC",18093,0.794,48734,37.126,18093,0
24,Cable One (Sparklight),"Fatbeam Holdings, LLC","Fatbeam Holdings, LLC",16866,0.74,16958,99.457,16866,0
25,Cable One (Sparklight),"Horizon Communications, Inc.","Horizon Communications, Inc.",16510,0.724,34801,47.441,16510,0
26,Cable One (Sparklight),Ritter,Ritter,16385,0.719,177817,9.215,16385,0
27,Cable One (Sparklight),Fybercom LLC,Fybercom LLC,16270,0.714,22876,71.123,16270,0
28,Cable One (Sparklight),"Conexon Connect, LLC","Conexon Connect, LLC",16150,0.708,415600,3.886,16150,0
29,Cable One (Sparklight),Socket Telecom LLC,Socket Telecom LLC,15987,0.701,118266,13.518,15987,0
30,Cable One (Sparklight),"ENMR Telephone Cooperative, Inc.","ENMR Telephone Cooperative, Inc.",14998,0.658,63317,23.687,14998,0
31,Cable One (Sparklight),"JAB Wireless, Inc.","JAB Wireless, Inc.",14722,0.646,89596,16.432,14722,0
32,Cable One (Sparklight),Google Fiber,Google Fiber,13864,0.608,1886259,0.735,13864,0
33,Cable One (Sparklight),Air Bridge Broadband LLC,Air Bridge Broadband LLC,13077,0.574,13231,98.836,13077,0
34,Cable One (Sparklight),First Electric Cooperative Corporation,First Electric Cooperative Corporation,12319,0.54,82726,14.891,12319,0
35,Cable One (Sparklight),"City of Ponca, Oklahoma","City of Ponca, Oklahoma",11604,0.509,11706,99.129,11604,0
36,Cable One (Sparklight),Daviess-Martin County Rural Telephone Corporation,Daviess-Martin County Rural Telephone Corporation,10414,0.457,17045,61.097,10414,0
37,Cable One (Sparklight),Allo Communications LLC,Allo Communications LLC,10288,0.451,436620,2.356,10288,0
38,Cable One (Sparklight),Long Lines,Long Lines,10272,0.451,24768,41.473,7848,2528
39,Cable One (Sparklight),"Lyte Fiber, LLC","Lyte Fiber, LLC",10138,0.445,27250,37.204,10138,0
40,Cable One (Sparklight),"Ezee Fiber Texas, LLC","Ezee Fiber Texas, LLC",9686,0.425,373234,2.595,9686,0
41,Cable One (Sparklight),Coosa Valley Electric Cooperative,Coosa Valley Electric Cooperative,9461,0.415,20648,45.82,9461,0
42,Cable One (Sparklight),"4-County Fiber, LLC","4-County Fiber, LLC",8636,0.379,36449,23.693,8636,0
43,Cable One (Sparklight),Direct Management Company,Direct Management Company,8421,0.369,37407,22.512,8421,0
44,Cable One (Sparklight),"Valley Telephone Cooperative, Inc. (AZ/NM)","Valley Telephone Cooperative, Inc. (AZ/NM)",8308,0.364,15038,55.247,8308,0
45,Cable One (Sparklight),"Hilliary Communications, LLC","Hilliary Communications, LLC",8089,0.355,40574,19.936,8089,0
46,Cable One (Sparklight),Consolidated (Fidium),Consolidated (Fidium),7956,0.349,1058652,0.752,7956,0
47,Cable One (Sparklight),"Big River Telephone, LLC","Big River Telephone, LLC",6519,0.286,19198,33.957,6519,0
48,Cable One (Sparklight),"IdeaTek Telcom, LLC","IdeaTek Telcom, LLC",6315,0.277,149656,4.22,6315,0
49,Cable One (Sparklight),Delta Electric Power Association,Delta Electric Power Association,6231,0.273,20606,30.239,6231,0
50,Cable One (Sparklight),"Plains Internet, LLC","Plains Internet, LLC",5345,0.234,6610,80.862,5345,0
